run,event_number,activated_veto,n_tracks,max_dangle,sum_hit_weight_density,sum_qdc
6640,127007422,True,6,0.09086543908902994,35036,238.85000045597553
6640,127008593,True,3,0.07895045503617086,39583,828.1200009696186
6640,127029568,True,3,0.0627590671007883,18508,37.22999728284776
6640,127051843,True,16,0.5330641671029357,137072,802.8500044066459
6640,127052751,True,3,0.059563603629257486,4562,168.02999891526997
6640,127057921,True,22,0.7440337806937818,145666,1767.5099977012724
6640,127077235,True,6,0.15350088980574836,24482,553.1699971761554
6640,127091304,True,3,0.12114396954247053,42904,1753.6800009887666
6640,127102550,True,6,0.13193542577274386,31321,751.9000051505864
6640,127104362,True,3,0.04004977329071588,10433,40.62000062316656
6640,127117027,True,3,0.08767506536406619,25803,-139.6000001579523
6640,127118846,True,4,0.04007654605516864,20340,114.10000164248049
6640,127126582,True,15,0.26675669369994914,64544,-103.45000065304339
6640,127160544,True,2,0.06596731832188506,13154,324.4600021149963
6640,127165535,True,7,0.003249996185773823,24185,376.22000223957
6640,127171220,True,3,0.0010832617152181393,3612,171.92000080272555
6640,127176187,True,3,0.07239835550756085,74460,3495.959986006841
6640,127186682,True,3,0.14705057961364065,47272,2142.9099949169904
6640,127203019,True,2,0.0075799144182294755,21258,396.1100018694997
6640,127210244,True,6,0.08328917973232715,60093,2150.7999968957156
