run,event_number,shower_start_sf,sum_hit_density_w_sf,sum_qdc_sf,max_qdc_per_sf_plane,n_hits_sf,max_n_hits_per_sf_plane
5132,88157767,5,412,50.83999850228429,15.929999951273203,45,13
5132,95802121,4,373,31.029999747872353,13.259999811649323,45,16
5132,101947508,2,505,67.01000130176544,32.62000048160553,50,19
5132,109265188,-1,232,51.59000006876886,17.340000450611115,34,12
5132,115421367,-1,340,31.55999992415309,20.940000116825104,40,11
5132,120004315,-1,138,22.720000034198165,9.769999800249934,31,10
5132,124512885,-1,120,31.529999427497387,12.479999840259552,27,6
5132,127384364,4,776,30.939998917281628,17.069999657571316,60,32
5132,136110468,1,502,31.299998924136162,28.559999212622643,50,20
5132,139394240,3,1056,86.78000158257782,46.8700010702014,56,26
5132,139706986,-1,216,21.91000071167946,21.789999954402447,31,11
5132,142463676,-1,244,38.10999828763306,20.899999679997563,43,12
5132,142560447,-1,355,37.09999978914857,14.029999934136868,45,15
5132,145234611,-1,417,41.53000069409609,35.37000022083521,46,15
5132,147800935,1,1829,177.23000065237284,169.61000095307827,78,41
5132,148144254,-1,499,44.430000288411975,27.78000047802925,49,20
5132,151905693,-1,121,63.80000041797757,19.180000334978104,30,8
5132,163119511,-1,339,26.860000055283308,27.209999829530716,40,13
5132,166105724,-1,190,33.23999962583184,21.579999804496765,27,8
5132,172149903,5,1428,116.98000015132129,86.260000532493,73,33
5132,173237815,-1,787,11.009999940171838,10.650000095367432,62,21
5132,176020446,-1,130,18.980000032112002,17.179999850690365,27,8
5132,177243938,1,454,41.00000083446503,22.65000019222498,43,16
5133,1952291,-1,287,29.819999776780605,15.239999949932098,44,18
5133,14233926,-1,383,16.560000171884894,10.30999999307096,49,16
5133,19346654,-1,630,15.690000591799617,10.660000011324883,57,19
5133,25381354,1,885,33.98999992199242,16.050000101327896,59,26
5133,30015181,-1,270,66.05000048875809,33.000000316649675,32,9
5133,30286670,-1,281,12.289999231696129,13.859999936074018,37,12
5133,37055650,-1,378,4.560001667588949,9.950000047683716,44,15
5133,41559800,-1,296,11.37000022828579,18.859999403357506,39,15
5133,43952350,1,793,40.04999959655106,14.949999999254942,59,24
5133,51491038,-1,308,47.14999936334789,16.489999808371067,41,13
5133,51862419,-1,177,71.85999978333712,31.58999989181757,33,10
5133,53677281,-1,256,39.989999413490295,17.119999438524246,35,8
5133,53798103,5,1120,95.45999917387962,27.07999984920025,65,32
5133,54680291,-1,344,38.75000075250864,16.700000032782555,44,20
5133,65545241,-1,208,58.61999951675534,31.079999715089798,31,8
5133,69384383,-1,463,19.72999957576394,23.53999987244606,53,19
5133,70227559,-1,204,43.60999971628189,18.43000005185604,36,9
5133,71097228,-1,309,50.79999924078584,15.139999806880951,36,9
5133,71259400,-1,493,48.6800000667572,22.210000060498714,57,14
5133,72287916,5,983,81.80000089854002,49.19000093638897,57,23
5133,75784754,3,293,44.20000061392784,19.39999988861382,39,16
5133,78109346,-1,294,46.55999983102083,24.289999842643738,41,16
5133,82093057,5,641,35.490000165998936,14.000000208616257,58,23
5133,86763054,-1,457,37.270000556483865,18.269999789074063,40,11
5133,88426728,-1,360,49.55000061169267,18.08000007085502,46,17
5133,92537969,-1,377,22.199999192729592,17.41999987885356,49,17
5133,97440328,2,639,64.67999928072095,43.87999994494021,54,22
5133,98685421,-1,714,62.6399997305125,28.07999999076128,54,22
5144,694014,-1,223,29.760000351816416,15.279999952763319,38,12
5144,6326494,3,686,14.700002118945122,20.660000443458557,44,15
5144,11202109,1,1558,61.19999918341637,18.699999928474426,69,35
5144,11249023,-1,306,69.54000058211386,23.380000203847885,44,16
5144,14177378,-1,197,15.230000397190452,9.940000027418137,31,9
5144,15171522,-1,268,41.70000079460442,17.390000373125076,39,10
5144,17345548,5,717,65.8099996689707,22.25000025331974,60,34
5144,17698645,-1,149,62.88000037148595,15.500000596046448,32,11
