run,event_number,activated_veto,n_tracks,max_dangle,sum_hit_weight_density,sum_qdc
5132,101947508,True,3,0.0069151392983921,505,67.01000130176544
5132,109265188,True,3,0.0088011046411308,232,51.59000006876886
5132,115421367,True,3,0.0031432811600749,340,31.55999992415309
5132,12469833,True,3,0.0191724893666187,575,36.41999976709485
5132,120004315,True,3,0.0069151843910378,138,22.720000034198165
5132,124512885,True,3,0.0163429065485243,120,31.529999427497387
5132,127384364,True,3,0.001571622334516,776,30.939998917281628
5132,136110468,True,3,0.0323723021301389,502,31.29999892413616
5132,139394240,True,2,0.0072295720258786,1056,86.78000158257782
5132,139706986,True,3,0.0282868068061762,216,21.91000071167946
5132,142463676,True,3,0.023259287871853,244,38.10999828763306
5132,142560447,True,3,0.0050292791735677,355,37.09999978914857
5132,145234611,True,3,0.0395866440558226,417,41.53000069409609
5132,147800935,True,3,0.0128871274471574,1829,177.23000065237284
5132,148144254,True,3,0.0091154347602908,499,44.430000288411975
5132,15636395,True,3,0.027340296101404,175,64.57000039331615
5132,151905693,True,3,0.0094297254706681,121,63.80000041797757
5132,163119511,True,3,0.0047149500792834,339,26.860000055283308
5132,166105724,True,3,0.0044005736239932,190,33.23999962583184
5132,172149903,True,3,0.0059721312394179,1428,116.98000015132128
5132,173237815,True,3,0.0015716502852322,787,11.009999940171838
5132,176020446,True,3,0.014458519095162,130,18.980000032112
5132,177243938,True,3,0.0018859540374587,454,41.00000083446503
5132,21749205,True,3,0.0040862858967649,623,5.199999626725912
5132,24123474,True,3,0.0169734354145267,502,35.4000009149313
5132,24683585,True,3,0.005972254561788,681,118.13999824225904
5132,24705240,True,3,0.0100579919185405,173,12.74000058323145
5132,25652857,True,3,0.1108113808439866,750,14.52000007033348
5132,26170179,True,3,0.0176018301868395,418,53.88000002875924
5132,26171176,True,3,0.074461198521031,525,79.89000146277249
5132,28219794,True,3,0.0307964711917008,280,16.709999430924654
5132,29703019,True,3,0.0084866871025257,547,39.53999989107251
5132,4112645,True,3,0.0172871369292689,698,84.4900005236268
5132,45683696,True,3,0.0110010259358236,290,49.53000080212951
5132,47694086,True,3,0.0069149589336898,489,52.74999998137355
5132,5089767,True,3,0.0198020860165016,308,15.230000378564
5132,50707712,True,3,0.0031433035208729,728,69.69000001624227
5132,51108013,True,3,0.0040862725734918,420,81.50999973714352
5132,57016849,True,3,0.007858113227714,160,61.519999261945486
5132,6868175,True,3,0.0066001651855618,1232,22.909999281167984
5132,64375516,True,3,0.0050292761921313,407,23.10000018775463
5132,66973178,True,3,0.0066007077230093,221,-11.110000075772405
5132,69387664,True,3,0.0022002821379303,1694,63.929998740553856
5132,72612125,True,3,0.0075438839771689,342,64.01000000163913
5132,73357509,True,3,0.0025146405806025,424,58.27000103145838
5132,73610878,True,3,0.0075437423643211,592,12.299999374896288
5132,78021050,True,3,0.0213715735196074,783,62.54000010713935
5132,8262964,True,3,0.0031432550728791,637,26.849999833852053
5132,81943702,True,3,0.0125729221635433,535,71.96999951452017
5132,84376682,True,2,0.0022002871379707,859,70.30000032484531
5132,85680361,True,3,0.0018859491927311,576,64.15000057592988
5132,87753880,True,3,0.0119441002295725,95,42.1499999165535
5132,88157767,True,3,0.0144571565413393,412,50.83999850228429
5132,95802121,True,3,0.0110005466581823,373,31.029999747872356
5133,1952291,True,3,0.0040862778220434,287,29.819999776780605
5133,14233926,True,3,0.0066009183715585,383,16.560000171884894
5133,19346654,True,3,0.0050292781797552,630,15.690000591799617
5133,25381354,True,3,0.0078580938182635,885,33.98999992199242
5133,30015181,True,3,0.0449140404179947,270,66.05000048875809
5133,30286670,True,3,0.0154015063159025,281,12.289999231696129
5133,37055650,True,3,0.0100580773753687,378,4.560001667588949
5133,41559800,True,3,0.0125727209374343,296,11.37000022828579
5133,43952350,True,3,0.0132014565414415,793,40.04999959655106
5133,51491038,True,3,0.0103725550600795,308,47.14999936334789
5133,51862419,True,3,0.0144580991612617,177,71.85999978333712
5133,53677281,True,3,0.0144587990646469,256,39.989999413490295
5133,53798103,True,3,0.0034576330188953,1120,95.45999917387962
5133,54680291,True,3,0.0216854861693,344,38.75000075250864
5133,65545241,True,3,0.0066007305480538,208,58.61999951675534
5133,69384383,True,3,0.0009429872207404,463,19.72999957576394
5133,70227559,True,3,0.003457346077432,204,43.60999971628189
5133,71097228,True,3,0.0025146405806025,309,50.79999924078584
5133,71259400,True,3,0.0044006205812612,493,48.6800000667572
5133,72287916,True,3,0.00094298945683,983,81.80000089854002
5133,75784754,True,3,0.0040862822631365,293,44.20000061392784
5133,78109346,True,3,0.008172243573761,294,46.55999983102083
5133,82093057,True,3,0.0091155167155318,641,35.490000165998936
5133,86763054,True,3,0.0182304723815965,457,37.270000556483865
5133,88426728,True,3,0.0596252371216525,360,49.55000061169267
5133,92537969,True,3,0.0081725407060745,377,22.199999192729592
5133,97440328,True,3,0.1012086253882014,639,64.67999928072095
5133,98685421,True,3,0.0128866436555516,714,62.6399997305125
5144,694014,True,3,0.0549666512780049,223,29.760000351816416
5144,11202109,True,3,0.0138299547770837,1558,61.19999918341637
5144,11249023,True,3,0.0034576248199068,306,69.54000058211386
5144,14177378,True,3,0.0040862907416134,197,15.230000397190452
5144,15171522,True,3,0.0659695354289457,268,41.70000079460442
5144,17345548,True,3,0.0050292761921313,717,65.8099996689707
5144,17698645,True,3,0.0166590041901243,149,62.88000037148595
5144,17997357,True,3,0.0091151276663957,342,54.13000018894672
5144,23128776,True,3,0.0116299363403534,232,38.9099997188896
5144,25292701,True,3,0.010686851858675,1243,-16.19000069051981
5144,30541090,True,3,0.0015716401918032,254,41.80000010877848
5144,40057529,True,3,0.0157161200974896,183,64.5900003388524
5144,40595287,True,3,0.0040862887229252,558,40.24000098370016
5144,46967435,True,3,0.0084867550193499,320,54.59000154398382
5144,6326494,True,3,0.0088006785849524,686,14.700002118945122
5154,10856816,True,2,0.000942984239304,264,82.31000056676567
5154,100543041,True,3,0.0210588405425064,2708,15.08999933861196
5154,104286928,True,3,0.005657231627789,188,24.91000058874488
5154,105308317,True,3,0.0062865840598103,1734,47.81999915651977
5154,108245035,True,3,0.0075437826116423,1039,6.9000001810491085
5154,108645660,True,3,0.0031432550728791,368,42.62999963015318
5154,108980646,True,3,0.0066007911982255,347,57.890000611543655
5154,109356142,True,3,0.0031433016574611,517,29.55000041425228
5154,117054599,True,3,0.0656093413657673,487,11.75000049546361
5154,119031155,True,2,0.0059722492511504,725,83.70000039972365
5154,119408864,True,3,0.0069152417825283,1082,5.630000084638596
5154,122251822,True,3,0.0301716612202485,498,16.86000026203692
5154,125413390,True,3,0.0339392176259922,185,44.96999963931739
5154,125788222,True,3,0.0185449731576471,422,43.48999955877662
5154,129570848,True,3,0.024830833153479,625,125.19000035710631
5154,138853298,True,3,0.0113157007506879,624,22.72000017389655
5154,139263711,True,2,0.0056579045976525,482,20.400000136345625
5154,149550660,True,3,0.0223156659238681,457,39.73000027611852
5154,153428381,True,3,0.0628452437803661,315,33.579999243840575
5154,155822400,True,3,0.0536946796596928,2080,61.91000045835972
5154,160265748,True,3,0.0091154158477522,294,69.25000009685755
5154,160325170,True,3,0.0066007911982255,214,55.40999941527844
5154,163897811,True,3,0.0053434890131598,714,93.66999951936305
5154,164142944,True,3,0.0113155777757748,319,30.78999874740839
5154,167134510,True,3,0.0395880038738532,247,18.74999970011413
5154,170030774,True,3,0.0047148941779065,729,-5.649999916553497
5154,171573456,True,3,0.0229437119149134,142,25.439999535679817
5154,176260551,True,3,0.0037719628585431,207,62.00000100769103
5154,22375824,True,3,0.0066009164150086,173,44.37999965623021
5154,22700504,True,3,0.0521400012935766,219,68.41000035405159
5154,24732766,True,3,0.0606304121837079,1272,63.46000070311129
5154,24843013,True,3,0.0135158185521116,617,79.25000092759728
5154,25836256,True,3,0.0069151024048466,232,39.26000018790364
5154,32509336,True,3,0.006286277238036,576,28.940000489354134
5154,33501072,True,3,0.0059721483508298,149,47.38000042364001
5154,33585863,True,3,0.0037719360256434,944,45.39000064507127
5154,35159187,True,3,0.0204298894785899,194,-2.119999505579472
5154,35678252,True,3,0.0367720152227897,287,28.5999993160367
5154,40435338,True,3,0.0012573215325768,206,33.09000012092292
5154,42071021,True,3,0.0075432057744045,464,45.39000056684017
5154,44747787,True,3,0.0103727805155566,263,19.19000022299588
5154,46520992,True,3,0.0446031002168351,268,56.37000084482133
5154,48194366,True,3,0.0056571500326921,144,23.61000021919608
5154,49518451,True,3,0.0176018301868395,198,66.08999920450151
5154,50347343,True,3,0.0088009637771766,188,50.93999954685569
5154,6764177,True,3,0.0339309354902856,794,91.489998832345
5154,60299967,True,3,0.0034576330188953,836,5.2300001587718725
5154,60708672,True,3,0.0040860194478036,180,34.74000070989132
5154,62379121,True,3,0.0804235934322027,264,59.269999980926514
5154,69979303,True,1,0.0,653,9.979998737573624
5154,7337296,True,3,0.0069151707265374,677,67.28999988362193
5154,73442362,True,3,0.0081721047041106,325,-0.8799993842840195
5154,78049004,True,2,0.0022002506164595,131,32.970000423491
5154,79653530,True,2,0.0562093232217581,5165,171.51000138930976
5154,84450826,True,3,0.0197972925528324,328,32.869999289512634
5154,84455504,True,1,0.0,1831,-44.40000095963478
5154,85245148,True,3,0.0044006084070582,533,2.379999188706279
5154,87552606,True,3,0.0452508702262876,156,46.36999980546534
5154,94271898,True,3,0.0053436030503464,334,40.82999943755567
5154,94935707,True,3,0.0081724777251384,705,39.380000008270144
5154,99108255,True,3,0.0188559135147981,177,52.44000004418194
5157,100719161,True,3,0.0141436233564475,196,49.299999540671706
5157,108062525,True,3,0.0069149302401728,310,-1.720000697299838
5157,109835238,True,3,0.0285961597053823,539,54.5799990221858
5157,11649856,True,3,0.0088011376839458,326,53.73000067472458
5157,111261136,True,3,0.0317359220980322,296,44.75000053085387
5157,112930499,True,3,0.0097441711151397,745,23.289999468252063
5157,12129014,True,3,0.0194870725590491,453,54.81000038981438
5157,122507878,True,3,0.022000099245978,799,98.83000086806716
5157,123934997,True,3,0.0034576114966334,494,46.55999949760735
5157,125699080,True,3,0.0056579359024733,182,38.99000036716461
5157,13199945,True,3,0.0263973043153029,267,56.25999973155558
5157,13581931,True,3,0.0201138340206515,273,34.6600002720952
5157,133814317,True,3,0.0075438839771689,328,28.91000012494624
5157,14868765,True,3,0.0084866334406181,156,13.350000208243728
5157,142739126,True,3,0.011001450908525,230,61.60000083968043
5157,149722450,True,3,0.0078582056180127,520,53.379999212920666
5157,150754982,True,3,0.023569197273909,385,2.82000045850873
5157,153050392,True,3,0.0182305084010634,297,81.4499992299825
5157,153241837,True,3,0.0634680177171571,689,29.9699998870492
5157,159977647,True,3,0.0103726934065969,509,58.7900013551116
5157,160069491,True,3,0.0031432811600749,407,50.19000036083162
5157,160077698,True,3,0.0436656557306255,140,47.53999972343445
5157,21190355,True,3,0.0050291748254029,250,19.83999908529222
5157,26498205,True,3,0.0257736526977221,254,66.09999942034483
5157,27151707,True,3,0.0113149964760036,223,26.999999657273293
5157,3166193,True,3,0.0169706959058308,251,22.480001010000706
5157,30926400,True,3,0.0018859663357249,335,56.0800001565367
5157,32440137,True,3,0.0392765782002658,114,45.62999977171421
5157,32527894,True,3,0.0606452753352637,249,26.119999803602692
5157,38253211,True,3,0.0238853431706131,1200,-38.01999944448471
5157,46933286,True,3,0.0018859808702468,964,-0.5599998217076063
5157,47666004,True,3,0.0235717464255261,947,49.1800018530339
5157,47818481,True,3,0.0125728327289219,167,17.800000730901957
5157,49014153,True,3,0.0377011223994203,114,40.39000050723553
5157,53961243,True,3,0.0295394080918814,481,92.89000028185546
5157,54532551,True,3,0.0175974493012678,530,29.19000049121678
5157,60139205,True,3,0.0034575920243417,696,34.869998866692185
5157,60330697,True,3,0.0358215360304651,525,-3.819999821484089
5157,61937712,True,3,0.0091151645886142,323,81.44000031426549
5157,66235473,True,3,0.0009429872207404,367,42.66999908164144
5157,67770350,True,3,0.0172864145769011,633,93.77000130154192
5157,72409335,True,3,0.0056577838537325,364,100.55000025220215
5157,73591717,True,3,0.0238869003036397,571,30.78000016883016
5157,75029230,True,3,0.0210558765961426,528,70.15000022575259
5157,75196255,True,3,0.0480737092276329,1108,51.64999794587493
5157,84731234,True,3,0.0128867607807133,259,40.18000069633126
5157,85868097,True,3,0.0097439554701065,353,36.950000355020165
5157,88301468,True,3,0.0031432973095081,830,62.65000152774155
5157,90120061,True,3,0.0088009916017981,575,5.669999981299043
5157,91371744,True,3,0.0088011220320554,334,69.70999993756413
5157,91556921,True,3,0.0028289557925549,538,46.47000007331371
5157,95883861,True,3,0.0138272445579986,383,42.83999981172383
5157,96074165,True,3,0.0059722616426527,237,32.14999916777015
5157,99785584,True,3,0.0044005823197078,232,66.43000040948391
5159,10459175,True,3,0.0198015480785881,577,-9.219999888911843
5159,102625628,True,3,0.0025146256733949,1065,35.38000008650124
5159,107228383,True,3,0.0088010176875403,334,48.93000037223101
5159,11484542,True,3,0.0125726787056119,369,33.959998816251755
5159,11791987,True,1,0.0,804,60.59999902173877
5159,115075650,True,3,0.0207436377773204,482,27.64999994635582
5159,14666401,True,3,0.0047148941779065,547,33.90000009164214
5159,14991458,True,3,0.0163448084985341,228,45.29000043682754
5159,16773412,True,3,0.0028289666934365,366,34.960000433027744
5159,17016903,True,3,0.0025146212012673,265,66.22000098600984
5159,2262343,True,3,0.0072292870341614,391,25.1200003195554
5159,26364025,True,3,0.0091151997100266,169,20.820000052452087
5159,27083536,True,3,0.0197995041810039,366,55.770000264048576
5159,28784773,True,3,0.0150875532998161,178,15.2199999243021
5159,32607159,True,3,0.0154017984566458,304,102.35999977216125
5159,41193682,True,3,0.0553080734095001,1607,57.68000026419759
5159,42666952,True,3,0.0103725550600797,346,27.299999941140413
5159,5962571,True,3,0.0179163642211852,464,70.7299993596971
5159,52112004,True,3,0.0298544722878775,513,75.87999988533556
5159,52754401,True,3,0.034885337336213,243,30.600000113248825
5159,59429177,True,3,0.0056578744111896,152,19.739999931305647
5159,61516268,True,3,0.0034576278945229,559,121.05999887734652
5159,61615577,True,3,0.0100582860551213,553,44.77000021189451
5159,64245920,True,3,0.0213712990953943,292,9.439999338239431
5159,65966316,True,3,0.0154010909473627,193,30.44999985024333
5159,68750679,True,3,0.0053435993546205,202,63.32999982871115
5159,7576765,True,3,0.0210593710209184,367,54.15000093355775
5159,70181818,True,3,0.0248251931143098,181,28.659999571740627
5159,76418000,True,3,0.006915121534784,390,36.429999120533466
5159,83046152,True,3,0.0053435439193459,643,73.55000028572977
5159,84834677,True,3,0.0304871180918425,634,73.90999990142882
5159,89852916,True,3,0.0081724244343351,292,69.64000023901463
5159,93473974,True,3,0.0018859726712581,169,13.179999485611916
5159,93871020,True,3,0.0044005423197045,467,30.28999974019825
5159,95605273,True,3,0.0025146212012673,1062,76.43000067025423
5171,1093298,True,3,0.0326856908815528,264,34.18000012636185
5171,107137404,True,3,0.0053436078020014,301,45.00000027939677
5171,108503374,True,3,0.0207450148231599,320,47.22000018134713
5171,12089020,True,3,0.0100581171232257,150,36.00999996624887
5171,12392717,True,3,0.0191735329709779,504,18.179999643936757
5171,13305454,True,3,0.0700630691281115,372,73.8100001718849
5171,21642370,True,3,0.0128872229366345,388,60.19999963790178
5171,38651826,True,3,0.0433470733285028,348,30.990000559017066
5171,45031500,True,3,0.0119435928425866,2826,110.06999897770584
5171,46116226,True,3,0.0028289557925549,293,49.05999991670251
5171,47373770,True,3,0.0518249223076513,683,-6.400000389665365
5171,52259932,True,3,0.0050292761921313,408,22.610000014305115
5171,53889567,True,3,0.0097440334477893,241,16.519999258220196
5171,55632411,True,3,0.0097438938589933,1016,21.87000069580972
5171,56595008,True,3,0.0069152417825283,135,44.01000021025538
5171,60462031,True,3,0.0088011515967842,774,53.33999937772751
5171,62748182,True,3,0.0056578185111822,489,66.18999935686588
5171,63696812,True,3,0.0103725550600795,486,20.020001297816638
5171,67062698,True,3,0.0163443337768609,253,11.229999408125876
5171,67312398,True,3,0.0194817378890112,798,67.19999954104424
5171,69640691,True,3,0.0380065880623993,146,43.27000017464161
5171,7840803,True,3,0.0182303427126948,232,39.21000063419342
5171,70490727,True,3,0.0286007689788012,284,29.99000109173357
5171,72913634,True,3,0.00754384521944,325,39.53000019490719
5171,73540995,True,3,0.0191712602941006,207,29.960000939667225
5171,77197235,True,3,0.0197980433950678,715,58.60000005923212
5171,78993929,True,3,0.0439832933886294,318,70.32999912649393
5171,79964313,True,3,0.0128863788586859,291,29.959999356418848
5171,8245440,True,3,0.0103727343988663,191,67.480000436306
5171,80725661,True,3,0.0179155093679922,736,60.05999983847141
5171,87047222,True,3,0.0226209568438989,298,38.86999958381057
5171,94022986,True,3,0.0075438675796196,165,28.15999991446733
5171,94903501,True,3,0.1152235040184825,738,8.910000119358301
5171,97459462,True,3,0.0213719535032282,707,109.89000022038816
5180,101763865,True,3,0.0050292583035881,419,62.790000289678574
5180,12176761,True,3,0.0056576273415061,475,55.58999951928854
5180,12268029,True,3,0.0047147642123288,415,-6.530000612139702
5180,22848200,True,3,0.0056578744111896,591,-7.340001221746206
5180,24563371,True,3,0.0471076579913252,269,44.95000002533197
5180,26285014,True,3,0.0094290379664667,176,19.70999980904162
5180,3129149,True,3,0.0037719628585429,252,63.79999975860119
5180,3904362,True,3,0.0103725550600797,155,27.5899998433888
5180,43453971,True,3,0.0458791356578567,94,29.600000891834497
5180,45588619,True,3,0.0163438590827601,264,70.00999972224236
5180,52235197,True,3,0.0062865840598103,354,40.58000015094876
5180,53205291,True,3,0.0088011046411308,489,2.3100005351006985
5180,53543390,True,3,0.0031432693586708,215,45.07999990135431
5180,53997973,True,3,0.0150855979355174,181,41.21000012382865
5180,56216988,True,3,0.0034575841671632,304,24.90999973192811
5180,58291897,True,3,0.0235697908627164,1021,25.510000633075837
5180,58295958,True,3,0.0154000320871669,165,54.72999972477555
5180,6558188,True,3,0.0081722742549019,871,-5.609999660402536
5180,81284079,True,3,0.0176005469873887,213,25.119999727234244
5180,84433432,True,3,0.019800959314587,393,52.01999993249774
5180,85703030,True,3,0.0210584557023437,251,60.42000068537891
5180,86211433,True,3,0.0025146405806025,382,23.27000051923096
5180,90067226,True,3,0.0053434890131598,548,41.54999943636358
5180,90682934,True,3,0.0289155272175499,320,22.040000662207603
5180,94065716,True,3,0.0081722112780724,188,44.689999878406525
5180,96865726,True,3,0.028287868492158,122,20.359999768435955
5180,98301248,True,3,0.0034575459066307,1350,123.84000117890535
5180,98612597,True,3,0.0034576056890849,775,107.65000117942692
5180,99831632,True,3,0.0018859491927311,287,50.24000009521842
6215,13877687,True,3,0.0091153951341094,699,62.900000639259815
6215,23008381,True,3,0.0056578744111896,589,13.529999723657966
6215,3338128,True,3,0.0486937271124474,132,36.03999966755509
6215,6566385,True,3,0.010372813309897,300,0.8099998198449612
6215,8983817,True,3,0.006915121534784,301,104.35999873280524
6223,12542565,True,3,0.0128873655368886,130,66.31000008061528
6223,23862622,True,3,0.0084866871025257,300,63.54999973997474
6223,26773482,True,3,0.0097436175812366,568,11.26999949477613
6223,27396084,True,3,0.0113157678290394,151,32.530000269412994
6223,28589687,True,3,0.0201160037589142,334,66.26999966800213
6223,3337425,True,3,0.0025142560311816,121,7.410000033676624
6223,30651137,True,3,0.0150848916251661,199,10.389999659731984
6223,34189758,True,3,0.0135154219817995,204,86.80000066570938
6223,44619183,True,3,0.1238258998909069,480,21.98000025935471
6223,46306149,True,3,0.0373909994399993,519,54.56999949738383
6223,49752496,True,3,0.0059722350894963,288,22.61999985575676
6223,6055281,True,3,0.0122587103302157,332,30.0900009367615
6226,101285257,True,3,0.0062864946187914,309,36.88000025600195
6226,14574892,True,3,0.0175970843258923,524,28.91999945044517
6226,15947823,True,3,0.0135159454061139,646,21.140000756829977
6226,16114614,True,3,0.0219971443075151,204,73.3199992980808
6226,23140256,True,3,0.0056578341630729,154,55.07000043615699
6226,26664127,True,3,0.0339375086020645,363,58.099999859929085
6226,27943903,True,3,0.0044002927708873,431,39.29999995045364
6226,38655185,True,3,0.0091155212186098,308,30.790000282227997
